id,distanceToJita,region,constellation,name,security,neighbors,planets
30000652,36,Cache,MRC-29,8OYE-Z,-0.53,30000650,40040940:40040942:40040944:40040954:40040956:40040972:40040994:40041019:40041022
30000653,36,Cache,MRC-29,K85Y-6,-1.00,30000650,40041025:40041027:40041029:40041031:40041048:40041071:40041096
30000654,36,Cache,MRC-29,PKN-NJ,-0.26,30000651,40041103:40041104:40041106:40041107:40041108:40041109:40041111:40041114:40041116:40041122:40041126:40041147:40041172:40041184
30000655,30,Scalding Pass,51ZT-6,EIN-QG,-0.11,30000657:30000658:30000662:30000671,40041189:40041191:40041193:40041205:40041221:40041242:40041253:40041290
30000656,28,Scalding Pass,51ZT-6,ARG-3R,-0.04,30000658:30000661:30000665:30000668:30001019,40041294:40041295:40041296:40041298:40041301:40041317:40041320:40041353:40041358
30000657,31,Scalding Pass,51ZT-6,S-E6ES,-0.11,30000655:30000659:30001001:30001029,40041368:40041369:40041371:40041373:40041375:40041378:40041394:40041406:40041408:40041428
30000658,29,Scalding Pass,51ZT-6,R-3FBU,-0.06,30000655:30000656:30000659:30000671:30000721,40041438:40041440:40041443:40041445:40041447:40041449:40041455:40041461:40041484:40041508:40041509:40041516:40041540:40041543
30000659,30,Scalding Pass,51ZT-6,K7-LDX,-0.11,30000657:30000658:30000660:30000691,40041547:40041549:40041551:40041554:40041557
30000660,30,Scalding Pass,51ZT-6,U-IVGH,-0.11,30000659:30000665,40041570:40041571:40041573:40041576:40041590:40041593:40041599:40041631
30000661,29,Scalding Pass,51ZT-6,P-N5N9,-0.03,30000656,40041642:40041643:40041644:40041646:40041647:40041650:40041653:40041657:40041660
30000662,31,Scalding Pass,51ZT-6,JMH-PT,-0.22,30000655:30000664,40041663:40041664:40041666:40041668:40041670:40041675:40041700:40041707
30000663,33,Scalding Pass,51ZT-6,DE-A7P,-0.47,30000583:30000664,40041712:40041713:40041714:40041715:40041718:40041720:40041723:40041748
30000664,32,Scalding Pass,51ZT-6,X9V-15,-0.32,30000568:30000662:30000663,40041754:40041756:40041759:40041761:40041764:40041780:40041803:40041829:40041856
30000665,29,Scalding Pass,51ZT-6,K212-A,-0.06,30000656:30000660,40041858:40041859:40041861:40041863:40041865:40041867:40041883:40041885:40041888:40041907
30000666,26,Scalding Pass,4YFT-F,F-5FDA,-0.05,30000667:30000668:30000926:30000939,40041912:40041913:40041914:40041915:40041916:40041918:40041920:40041923:40041936:40041940:40041971
30000667,27,Scalding Pass,4YFT-F,S1-XTL,-0.11,30000666:30000673,40041977:40041979:40041981:40041985:40042001:40042024:40042045:40042052
30000668,27,Scalding Pass,4YFT-F,9PX2-F,-0.07,30000656:30000666:30000669,40042055:40042057:40042059:40042061:40042074:40042099:40042127:40042147
30000669,28,Scalding Pass,4YFT-F,N3-JBX,-0.13,30000668:30000670:30000671,40042152:40042154:40042156:40042171:40042173:40042175:40042196:40042229
30000670,29,Scalding Pass,4YFT-F,SG-75T,-0.29,30000669:30000678:30000732,40042237:40042239:40042240:40042242:40042243:40042246:40042249:40042252:40042271:40042279
30000671,29,Scalding Pass,4YFT-F,GN-PDU,-0.09,30000655:30000658:30000669:30000697,40042284:40042285:40042287:40042289:40042296:40042299:40042302:40042321:40042331
30000672,29,Scalding Pass,P-I9PF,AZ3F-N,-0.08,30000673:30000675:30000676,40042351:40042353:40042356:40042371:40042388:40042395
30000673,28,Scalding Pass,P-I9PF,RNM-Y6,-0.18,30000667:30000672:30000674:30000677,40042399:40042401:40042403:40042406:40042408:40042411:40042431:40042450:40042473:40042482
30000674,29,Scalding Pass,P-I9PF,V-KDY2,-0.23,30000673:30000677,40042486:40042487:40042488:40042489:40042492:40042505:40042529
30000675,30,Scalding Pass,P-I9PF,FYD-TO,-0.03,30000672,40042533:40042535:40042537:40042539:40042543:40042565:40042589:40042593:40042635
30000676,30,Scalding Pass,P-I9PF,ER2O-Y,-0.04,30000672:30000677,40042640:40042641:40042643:40042645:40042647:40042650:40042651:40042672:40042677:40042680
30000677,29,Scalding Pass,P-I9PF,J2-PZ6,-0.33,30000673:30000674:30000676,40042685:40042686:40042688:40042691:40042694:40042704:40042718:40042750:40042777
30000678,29,Scalding Pass,ENP-SH,XV-MWG,-0.41,30000670:30000682:30000683:30000684,40042781:40042782:40042783:40042785:40042787:40042790:40042793:40042795:40042799:40042820:40042824
30000679,31,Scalding Pass,ENP-SH,OAQY-M,-0.53,30000563:30000683:30000730,40042862:40042865:40042868:40042870:40042878:40042900:40042921:40042961:40042987
30000680,27,Scalding Pass,ENP-SH,1V-LI2,-0.43,30000554:30000681:30000682:30000704:30000792,40042996:40042998:40042999:40043002
30000681,28,Scalding Pass,ENP-SH,M9-MLR,-0.40,30000554:30000680:30000717,40043008:40043009:40043011:40043012:40043014:40043026
30000682,28,Scalding Pass,ENP-SH,Q-K2T7,-0.46,30000678:30000680,40043037:40043039:40043041:40043043:40043045:40043065:40043082:40043117:40043125
30000683,30,Scalding Pass,ENP-SH,LBC-AW,-0.60,30000678:30000679,40043130:40043132:40043134:40043136:40043137:40043140:40043143:40043166:40043168
30000684,30,Scalding Pass,ENP-SH,2-KPW6,-0.56,30000678:30000710,40043177:40043178:40043180:40043182:40043183:40043186:40043193:40043203:40043227:40043233
30000685,31,Scalding Pass,Y-M7ML,H5N-V7,-0.24,30000686:30000689,40043253:40043255:40043257:40043259:40043261:40043265:40043267:40043271:40043274:40043279:40043303:40043304
30000686,30,Scalding Pass,Y-M7ML,HQ-Q1Q,-0.16,30000685:30000688,40043306:40043307:40043308:40043310:40043312:40043314:40043316:40043319:40043328
30000687,31,Scalding Pass,Y-M7ML,WHI-61,-0.05,30000690:30000722,40043335:40043337:40043339:40043341:40043342:40043359:40043381:40043408
30000688,29,Scalding Pass,Y-M7ML,ZFJH-T,-0.10,30000686:30000690:30001021,40043440:40043442:40043444:40043458:40043479:40043485:40043488
30000689,32,Scalding Pass,Y-M7ML,I-1B7X,-0.16,30000685,40043492:40043493:40043496:40043498:40043500:40043503:40043506:40043523:40043536:40043562:40043580:40043607
30000690,30,Scalding Pass,Y-M7ML,G15Z-W,-0.09,30000687:30000688,40043612:40043614:40043616:40043617:40043619:40043642:40043662:40043683
30000691,31,Scalding Pass,QI1M-Q,AH8-Q7,-0.19,30000659:30000694:30000695,40043693:40043694:40043695:40043697:40043698:40043701:40043702:40043719:40043742:40043772
30000692,33,Scalding Pass,QI1M-Q,SD4A-2,-0.26,30000693:30000695,40043777:40043779:40043780:40043783:40043786:40043790:40043807:40043811:40043815
30000693,34,Scalding Pass,QI1M-Q,U6K-RG,-0.21,30000692:30000696,40043824:40043825:40043828:40043831:40043834:40043839:40043843:40043847
30000694,32,Scalding Pass,QI1M-Q,V-S9YY,-0.13,30000691:30000695,40043854:40043856:40043858:40043860:40043862:40043865:40043868:40043871:40043888:40043910
30000695,32,Scalding Pass,QI1M-Q,F2-NXA,-0.18,30000691:30000692:30000694,40043946:40043949:40043951:40043953:40043963:40043967:40043971
30000696,35,Scalding Pass,QI1M-Q,NSBE-L,-0.16,30000693,40043975:40043976:40043977:40043979:40043981:40043983:40044004
30000697,30,Scalding Pass,7VJ-7M,8Q-T7B,-0.06,30000671:30000698:30000699:30000701:30000721,40044009:40044011:40044013:40044030:40044034:40044050
30000698,31,Scalding Pass,7VJ-7M,WV0D-1,-0.08,30000697,40044054:40044055:40044057:40044059:40044061:40044070:40044072:40044082:40044109
30000699,31,Scalding Pass,7VJ-7M,ZNF-OK,-0.03,30000697:30000700:30000701:30000721,40044115:40044116:40044118:40044119:40044121:40044123:40044124:40044142:40044144
30000700,32,Scalding Pass,7VJ-7M,C8-7AS,-0.01,30000699:30000701:30000702:30000722,40044169:40044171:40044173:40044180:40044206:40044208:40044212:40044235:40044243
30000701,31,Scalding Pass,7VJ-7M,4E-EZS,-0.02,30000697:30000699:30000700,40044247:40044248:40044250:40044252:40044255:40044258:40044261:40044266:40044269:40044285:40044294:40044298
30000702,33,Scalding Pass,7VJ-7M,A-80UA,-0.01,30000700,40044303:40044304:40044306:40044308:40044312:40044317:40044332:40044334:40044340
30000703,25,Scalding Pass,02QH-A,U2-28D,-0.34,30000704:30000705:30000706:30000707:30000978,40044344:40044345:40044347:40044349:40044352:40044354:40044359:40044361:40044367:40044371:40044380:40044393:40044397
30000704,26,Scalding Pass,02QH-A,LQ-OAI,-0.54,30000680:30000703:30000705,40044399:40044400:40044401:40044402:40044404:40044407:40044410:40044415:40044418:40044441
30000705,26,Scalding Pass,02QH-A,5-MQQ7,-0.37,30000703:30000704:30000707,40044449:40044451:40044453:40044456:40044464:40044465:40044484:40044489:40044494
30000706,26,Scalding Pass,02QH-A,6-EQYE,-0.40,30000703:30000708:30000787,40044499:40044501:40044504:40044506:40044508:40044511:40044515:40044518:40044540
30000707,26,Scalding Pass,02QH-A,03-OR2,-0.17,30000703:30000705:30000708,40044547:40044548:40044549:40044551:40044553:40044556:40044559:40044564:40044568
30000708,27,Scalding Pass,02QH-A,JLO-Z3,-0.20,30000706:30000707,40044590:40044591:40044593:40044595:40044597:40044600:40044602:40044605:40044623:40044630
30000709,32,Scalding Pass,WQZ8-4,IAK-JW,-0.78,30000710:30000711:30000712,40044648:40044650:40044652:40044654:40044664:40044674:40044691:40044692:40044723
30000710,31,Scalding Pass,WQZ8-4,KZFV-4,-0.67,30000684:30000709:30000714,40044729:40044730:40044732:40044734:40044738:40044741:40044744:40044746:40044751:40044757:40044763
30000711,33,Scalding Pass,WQZ8-4,WO-GC0,-0.79,30000709:30000712,40044788:40044790:40044792:40044798:40044820:40044845:40044852
30000712,32,Scalding Pass,WQZ8-4,RYC-19,-0.88,30000709:30000711:30000713,40044861:40044862:40044864:40044867:40044869:40044871:40044875:40044893
30000713,31,Scalding Pass,WQZ8-4,X2-ZA5,-0.90,30000712:30000789,40044898:40044900:40044903:40044905:40044927:40044955:40044961
30000714,32,Scalding Pass,WQZ8-4,28Y9-P,-0.69,30000710,40044966:40044967:40044969:40044971:40044973:40044976:40044978:40044998:40045003
30000715,30,Scalding Pass,DITJ-X,Q4C-S5,-0.68,30000717:30000718:30000719,40045008:40045010:40045012:40045014:40045016:40045037:40045054:40045080
30000716,32,Scalding Pass,DITJ-X,B-1UJC,-0.53,30000588:30000718,40045115:40045116:40045117:40045119:40045121:40045123:40045124:40045126:40045143
30000717,29,Scalding Pass,DITJ-X,Q-NA5H,-0.72,30000681:30000715,40045180:40045181:40045182:40045184:40045185:40045187:40045198:40045216:40045219:40045226:40045229
30000718,31,Scalding Pass,DITJ-X,4-CM8I,-0.51,30000715:30000716:30000720,40045235:40045236:40045241:40045243:40045254:40045256:40045278:40045312:40045315
30000719,31,Scalding Pass,DITJ-X,ZDB-HT,-0.58,30000715:30000720,40045321:40045322:40045323:40045324:40045326:40045328:40045332:40045348:40045351:40045373:40045379
30000720,31,Scalding Pass,DITJ-X,1QZ-Y9,-0.44,30000718:30000719:30000774,40045385:40045387:40045389:40045391:40045396:40045399:40045420:40045441:40045448
30000721,30,Scalding Pass,YCM-AI,HJ-BCH,-0.03,30000658:30000697:30000699:30000722:30000725:30000729,40045452:40045453:40045455:40045457:40045460:40045463:40045466:40045471:40045473:40045475:40045498:40045503
30000722,31,Scalding Pass,YCM-AI,QPTT-F,-0.02,30000687:30000700:30000721:30000723:30000724:30000727,40045510:40045511:40045513:40045515:40045517:40045524:40045531:40045563:40045601:40045606
30000723,32,Scalding Pass,YCM-AI,9M-M0P,-0.01,30000722,40045611:40045613:40045615:40045619:40045646:40045667:40045692:40045696:40045699
30000724,32,Scalding Pass,YCM-AI,9BC-EB,-0.02,30000722,40045701:40045703:40045705:40045706:40045707:40045710:40045713:40045722:40045729:40045734
30000725,31,Scalding Pass,YCM-AI,WFFE-4,-0.02,30000721:30000726:30000729,40045738:40045739:40045742:40045743:40045747:40045748:40045751:40045755:40045758
30000726,32,Scalding Pass,YCM-AI,71-UTX,-0.03,30000725:30000729,40045762:40045763:40045764:40045765:40045767:40045770:40045775
30000727,32,Scalding Pass,YCM-AI,PU-UMM,-0.01,30000722:30000728,40045779:40045781:40045782:40045784:40045787:40045792:40045795:40045799:40045802
30000728,33,Scalding Pass,YCM-AI,6-KPAB,-0.01,30000727,40045806:40045807:40045809:40045811:40045826:40045846:40045867:40045871
30000729,31,Scalding Pass,YCM-AI,Y5-E1U,-0.03,30000721:30000725:30000726,40045875:40045878:40045880:40045888:40045891:40045911:40045936
30000730,31,Scalding Pass,CN5-F2,4-43BW,-0.35,30000570:30000679:30000731:30000732:30000734,40045970:40045972:40045974:40045977:40045979:40045981:40045993:40046023:40046033
30000731,32,Scalding Pass,CN5-F2,8CN-CH,-0.32,30000730,40046040:40046041:40046044:40046046:40046048:40046052
30000732,30,Scalding Pass,CN5-F2,V-F6DQ,-0.29,30000670:30000730:30000733:30000734,40046077:40046078:40046079:40046081:40046082:40046084:40046086:40046089:40046111:40046134:40046153:40046161
30000733,31,Scalding Pass,CN5-F2,3S-6VU,-0.21,30000732:30000735,40046166:40046168:40046170:40046173:40046186:40046203:40046231
30000734,31,Scalding Pass,CN5-F2,1-7HVI,-0.40,30000730:30000732:30000735,40046243:40046244:40046248:40046251:40046253
30000735,32,Scalding Pass,CN5-F2,OX-S7P,-0.46,30000733:30000734,40046259:40046261:40046266:40046288:40046309:40046334
30000736,34,Insmother,IV-LWJ,KDG-TA,-0.18,30000739:30000760,40046337:40046339:40046341:40046343:40046345:40046348:40046351:40046358:40046366:40046389:40046417
30000737,38,Insmother,IV-LWJ,KD-KPR,-0.42,30000741,40046443:40046446:40046448:40046452:40046456:40046479:40046485:40046504
30000738,38,Insmother,IV-LWJ,PT-21C,-0.18,30000742,40046528:40046529:40046531:40046532:40046534:40046537:40046561:40046564:40046578:40046601:40046623
30000739,35,Insmother,IV-LWJ,Z182-R,-0.22,30000736:30000740,40046629:40046630:40046632:40046635:40046657:40046674
30000740,36,Insmother,IV-LWJ,EKPB-3,-0.36,30000739:30000741:30000742,40046701:40046703:40046704:40046707:40046713:40046739:40046778
30000741,37,Insmother,IV-LWJ,5M2-KP,-0.40,30000737:30000740,40046783:40046784:40046785:40046786:40046788:40046805:40046828:40046845:40046865
30000742,37,Insmother,IV-LWJ,TK-DLH,-0.31,30000738:30000740:30000831,40046872:40046873:40046875:40046877:40046880:40046884:40046905:40046909
30000743,34,Insmother,U-EUG7,C8H5-X,-0.15,30000745:30000747:30000749:30000756,40046917:40046918:40046920:40046922:40046925:40046927:40046929:40046935:40046940
30000744,36,Insmother,U-EUG7,O-7LAI,-0.08,30000745,40046945:40046947:40046949:40046951:40046954:40046958:40046965:40046990:40046993
30000745,35,Insmother,U-EUG7,7L3-JS,-0.12,30000743:30000744:30000746,40046997:40046999:40047001:40047004:40047008:40047011:40047014:40047018:40047039:40047050:40047071
30000746,36,Insmother,U-EUG7,WF4C-8,-0.17,30000745:30000747,40047078:40047079:40047081:40047083:40047085:40047087:40047091:40047093:40047111:40047140
30000747,35,Insmother,U-EUG7,TZN-2V,-0.15,30000743:30000746:30000748:30000749,40047145:40047146:40047148:40047151:40047153:40047155:40047159
30000748,36,Insmother,U-EUG7,8EF-58,-0.28,30000747,40047162:40047164:40047166:40047168:40047171:40047174:40047196:40047216:40047219
30000749,35,Insmother,U-EUG7,4DS-OI,-0.20,30000743:30000747,40047225:40047226:40047228:40047231:40047233:40047251
30000750,34,Insmother,E-95ID,XQP-9C,-0.16,30000751:30000756,40047264:40047265:40047266:40047268:40047272:40047275
30000751,35,Insmother,E-95ID,W-6GBI,-0.20,30000750:30000752:30000755,40047280:40047281:40047282:40047285:40047287:40047289:40047291:40047293:40047310:40047312:40047318
30000752,36,Insmother,E-95ID,XKH-6O,-0.15,30000751:30000754,40047324:40047326:40047328:40047331:40047345:40047348:40047365:40047371:40047389
30000753,37,Insmother,E-95ID,S0U-MO,-0.25,30000755:30000824,40047396:40047397:40047398:40047400:40047403:40047404:40047406:40047409:40047416:40047421
30000754,37,Insmother,E-95ID,F39H-1,-0.17,30000752,40047425:40047426:40047428:40047430:40047434:40047461:40047484:40047487
30000755,36,Insmother,E-95ID,V-QXXK,-0.23,30000751:30000753,40047489:40047490:40047492:40047494:40047496:40047507:40047531:40047557:40047561
30000756,33,Insmother,8-4EFQ,2-Q4YG,-0.11,30000743:30000750:30000757:30000759,40047568:40047569:40047577:40047579:40047597:40047613:40047632:40047635
30000757,32,Insmother,8-4EFQ,2JT-3Q,-0.10,30000756:30000758:30000759:30000762,40047640:40047642:40047644:40047663
30000758,33,Insmother,8-4EFQ,I3CR-F,-0.16,30000757:30000761:30000763,40047697:40047699:40047702:40047705:40047722:40047731:40047761:40047772
30000759,32,Insmother,8-4EFQ,7-JT09,-0.09,30000756:30000757:30000760:30000762,40047779:40047781:40047782:40047784:40047786:40047789:40047794:40047814:40047840
30000760,33,Insmother,8-4EFQ,AGCP-I,-0.14,30000736:30000759,40047845:40047846:40047847:40047849:40047850:40047852:40047855:40047858:40047863:40047887
30000761,33,Insmother,8-4EFQ,M4-GJ6,-0.16,30000758:30000763:30000777,40047908:40047921:40047923:40047939:40047962:40047968
30000762,31,Insmother,8-4EFQ,5-2PQU,-0.08,30000622:30000757:30000759:30000764,40047973:40047975:40047976:40047978:40047982:40047984:40047989:40048012:40048030:40048034:40048064
30000763,33,Insmother,8-4EFQ,SN9-3Z,-0.14,30000543:30000758:30000761,40048093:40048095:40048097:40048100:40048107:40048120:40048141:40048143
30000764,32,Insmother,Z-ONUI,6BJH-3,-0.05,30000762:30000767:30000768,40048150:40048152:40048154:40048156:40048158:40048161:40048166:40048186:40048191
30000765,34,Insmother,Z-ONUI,U-UTU9,-0.04,30000766:30000767,40048197:40048199:40048202:40048205:40048209:40048216:40048225:40048249:40048257:40048287:40048291
30000766,34,Insmother,Z-ONUI,1TG7-W,-0.06,30000765:30000767:30000768:30000769,40048295:40048297:40048299:40048305:40048326:40048346:40048379
30000767,33,Insmother,Z-ONUI,QYD-WK,-0.04,30000764:30000765:30000766:30000769,40048384:40048385:40048387:40048388:40048390:40048398:40048419
30000768,33,Insmother,Z-ONUI,R959-U,-0.06,30000764:30000766,40048453:40048455:40048457:40048460:40048463:40048477
30000769,34,Insmother,Z-ONUI,A-TJ0G,-0.09,30000766:30000767:30000814,40048501:40048503:40048506:40048508:40048510:40048530:40048552:40048574:40048581
30000770,30,Insmother,QA-P7J,88A-RA,-0.29,30000772:30000773:30000780,40048585:40048587:40048589:40048591:40048594:40048615:40048622:40048644
30000771,31,Insmother,QA-P7J,8G-2FP,-0.21,30000775,40048674:40048675:40048677:40048679:40048682:40048686:40048690:40048692:40048703
30000772,29,Insmother,QA-P7J,C-J6MT,-0.29,30000770:30000773:30000775:30000776:30000784,40048708:40048709:40048711:40048731:40048735:40048738
30000773,30,Insmother,QA-P7J,78-0R6,-0.26,30000540:30000542:30000770:30000772:30000774,40048742:40048743:40048745:40048746:40048747:40048749:40048751:40048760:40048762:40048783:40048786
30000774,30,Insmother,QA-P7J,MSG-BZ,-0.28,30000552:30000720:30000773,40048791:40048793:40048811:40048835:40048862:40048867:40048871
30000775,30,Insmother,QA-P7J,8-WYQZ,-0.23,30000771:30000772:30000803,40048875:40048877:40048879:40048882:40048904:40048930:40048933:40048937
30000776,30,Insmother,QA-P7J,4M-QXK,-0.15,30000772,40048941:40048942:40048944:40048948:40048952:40048956:40048976:40049004:40049011
30000777,32,Insmother,UR-HG4,X5-0EM,-0.25,30000761:30000778:30000782,40049032:40049034:40049036:40049043:40049065:40049092:40049096
30000778,32,Insmother,UR-HG4,G-EURJ,-0.29,30000777:30000779:30000782:30000797,40049102:40049103:40049104:40049106:40049108:40049109:40049114:40049118
30000779,32,Insmother,UR-HG4,SHBF-V,-0.29,30000458:30000778:30000780,40049124:40049126:40049128:40049130:40049132:40049136:40049139:40049156
30000780,31,Insmother,UR-HG4,RERZ-L,-0.22,30000770:30000779:30000782,40049180:40049182:40049187
30000781,30,Insmother,UR-HG4,0UBC-R,-0.21,30000782:30000791,40049191:40049193:40049195:40049210:40049212:40049236:40049268
30000782,31,Insmother,UR-HG4,3U-48K,-0.21,30000777:30000778:30000780:30000781,40049278:40049279:40049281:40049283:40049286:40049295:40049320:40049325:40049331:40049342
30000783,29,Insmother,0YMH-Q,EFM-C4,-0.48,30000788,40049346:40049360:40049375:40049401
30000784,28,Insmother,0YMH-Q,YPW-M4,-0.54,30000772:30000785:30000786:30000787,40049442:40049444:40049446:40049449:40049470:40049491:40049514:40049542:40049543
30000785,29,Insmother,0YMH-Q,Q7-FZ8,-0.55,30000784:30000788:30000810,40049550:40049553:40049554:40049556:40049578:40049585:40049618:40049624:40049630
30000786,29,Insmother,0YMH-Q,L5-UWT,-0.65,30000784:30000788:30000794,40049636:40049638:40049639:40049641:40049646:40049648:40049659:40049683:40049685:40049688
30000787,27,Insmother,0YMH-Q,74-VZA,-0.72,30000706:30000784:30000788,40049694:40049696:40049698:40049700:40049702:40049704:40049729:40049735
30000788,28,Insmother,0YMH-Q,I-1QKL,-0.58,30000783:30000785:30000786:30000787,40049758:40049760:40049762:40049764:40049766:40049771:40049780:40049785:40049789
30000789,30,Insmother,0EA3-8,GK5Z-T,-0.53,30000713:30000790:30000793,40049794
30000790,29,Insmother,0EA3-8,RQN-OO,-0.39,30000789:30000791:30000792:30000793,40049816:40049818:40049819:40049821:40049823:40049826:40049828:40049847:40049878:40049881
30000791,29,Insmother,0EA3-8,67Y-NR,-0.26,30000781:30000790:30000792:30000795,40049885:40049886:40049888:40049890:40049891:40049893:40049895:40049915:40049918:40049944:40049947
30000792,28,Insmother,0EA3-8,GDHN-K,-0.37,30000680:30000790:30000791,40049962:40049963:40049964:40049966:40049968:40049971:40049982:40049985:40049992:40050013
30000793,30,Insmother,0EA3-8,QTME-D,-0.45,30000789:30000790:30000794,40050016:40050018:40050020:40050024:40050047:40050063:40050075
30000794,30,Insmother,0EA3-8,A24L-V,-0.48,30000786:30000793:30000795,40050080:40050082:40050084:40050090:40050100:40050120:40050139
30000795,30,Insmother,0EA3-8,4CJ-AC,-0.20,30000791:30000794,40050176:40050177:40050179:40050181:40050185:40050188:40050190:40050213:40050240:40050244
30000796,34,Insmother,0-YMZM,EUU-4N,-0.68,30000797,40050249:40050251:40050253:40050255:40050259:40050265:40050273:40050275:40050296:40050309:40050347:40050350
30000797,33,Insmother,0-YMZM,Q-3HS5,-0.58,30000778:30000796:30000798:30000799,40050357:40050358:40050359:40050361:40050364:40050367:40050376:40050381:40050384:40050387:40050407:40050410
30000798,34,Insmother,0-YMZM,3AE-CP,-0.67,30000797:30000800,40050415:40050417:40050418:40050437:40050439:40050447:40050470:40050480:40050519:40050523
30000799,34,Insmother,0-YMZM,0-VG7A,-0.43,30000797,40050526:40050528:40050530:40050531:40050533:40050536:40050540:40050559
30000800,35,Insmother,0-YMZM,9OLQ-6,-0.79,30000798:30000801,40050564:40050566:40050568:40050569:40050594:40050613:40050619:40050623
30000801,36,Insmother,0-YMZM,MOCW-2,-0.82,30000800,40050628:40050629:40050632:40050635:40050636:40050638
30000802,32,Insmother,N5V-Y0,ZO-4AR,-0.29,30000803:30000804,40050641:40050642:40050644:40050645:40050648:40050651:40050657:40050679
30000803,31,Insmother,N5V-Y0,MJ-LGH,-0.26,30000775:30000802,40050691:40050693:40050695:40050698:40050702:40050720:40050746:40050788:40050792
30000804,33,Insmother,N5V-Y0,F2A-GX,-0.26,30000802:30000805:30000806,40050799:40050801:40050804:40050831:40050837:40050865
30000805,34,Insmother,N5V-Y0,RD-FWY,-0.18,30000804,40050873:40050874:40050875:40050877:40050880:40050883:40050896:40050906:40050933:40050939
30000806,34,Insmother,N5V-Y0,VBPT-T,-0.32,30000804:30000807,40050944:40050946:40050947:40050950:40050954:40050955:40050958:40050961:40050985:40051009:40051041:40051057
30000807,35,Insmother,N5V-Y0,KS-1TS,-0.45,30000806,40051063:40051064:40051067:40051069:40051073:40051076:40051080:40051088:40051098
30000808,31,Insmother,N-LY4R,X0-6LH,-0.71,30000809:30000810:30000811:30000812,40051104:40051106:40051108:40051110:40051112:40051113:40051130:40051131:40051157:40051168:40051172
30000809,32,Insmother,N-LY4R,FN0-QS,-0.85,30000808:30000812:30000813,40051186:40051188:40051190:40051192:40051200:40051225:40051237:40051241
30000810,30,Insmother,N-LY4R,F3-8X2,-0.54,30000785:30000808,40051245:40051247:40051248:40051256:40051277:40051304
30000811,32,Insmother,N-LY4R,N7-BIY,-0.65,30000808,40051313:40051314:40051315:40051317:40051319:40051323:40051327:40051350
30000812,32,Insmother,N-LY4R,TTP-2B,-0.93,30000808:30000809:30000813,40051360:40051361:40051362:40051363:40051365:40051367:40051369:40051371:40051373:40051380:40051396:40051409:40051434:40051464:40051467
30000813,33,Insmother,N-LY4R,LVL-GZ,-0.96,30000809:30000812:30000837,40051472:40051473:40051475:40051477:40051479:40051483:40051490:40051511:40051536:40051539
30000814,33,Insmother,V2S-RH,EJ48-O,-0.10,30000769:30000815,40051543:40051545:40051547:40051549:40051562:40051565:40051580:40051605
30000815,32,Insmother,V2S-RH,ROJ-B0,-0.19,30000814:30000816:30000817,40051618:40051619:40051622:40051624:40051628:40051633:40051658
30000816,31,Insmother,V2S-RH,DFH-V5,-0.32,30000815:30000818,40051662:40051664:40051665:40051667:40051669:40051681:40051697:40051723:40051749:40051778
30000817,33,Insmother,V2S-RH,B-II34,-0.09,30000815,40051783:40051784:40051785:40051786:40051789:40051801:40051805:40051814
30000818,30,Insmother,V2S-RH,4LB-EL,-0.39,30000816:30000819:30000821,40051820:40051822:40051823:40051825:40051826:40051828:40051831:40051835:40051838:40051842:40051852
30000819,31,Insmother,V2S-RH,UDE-FX,-0.41,30000818:30000820,40051886:40051888:40051890:40051892:40051913:40051931:40051955
30000820,30,Insmother,V2S-RH,5IH-GL,-0.51,30000819:30000821:30000822,40051962:40051964:40051972:40051990:40052020:40052045:40052058
30000821,29,Insmother,V2S-RH,C1G-XC,-0.56,30000619:30000818:30000820:30000823,40052060:40052061:40052063:40052065:40052068:40052071:40052079:40052081:40052102
30000822,31,Insmother,V2S-RH,04-EHC,-0.56,30000820:30000830,40052107:40052110:40052112:40052115:40052118:40052124:40052150:40052153
30000823,30,Insmother,V2S-RH,3-0FYP,-0.49,30000648:30000821,40052158:40052160:40052163:40052166:40052168:40052169:40052186:40052197:40052200:40052203
30000824,37,Insmother,FD-7Y4,N-O53U,-0.43,30000753:30000825,40052210:40052212:40052215:40052217:40052220:40052223:40052227:40052253:40052263:40052290
30000825,36,Insmother,FD-7Y4,HZ-O18,-0.42,30000824:30000826,40052293:40052296:40052298:40052301:40052304
30000826,35,Insmother,FD-7Y4,D-P1EH,-0.54,30000825:30000827,40052309:40052311:40052313:40052315:40052317:40052321:40052324:40052345:40052368
30000827,34,Insmother,FD-7Y4,74L2-U,-0.53,30000826:30000828,40052375:40052377:40052378:40052381:40052383:40052386:40052388:40052390:40052411:40052419:40052423:40052428
30000828,33,Insmother,FD-7Y4,HL-VZX,-0.50,30000827:30000829:30000830,40052434:40052435:40052437:40052439:40052449:40052453
30000829,33,Insmother,FD-7Y4,38NZ-1,-0.54,30000828:30000830:30000845,40052458:40052463:40052475:40052490:40052509:40052512:40052520:40052528:40052533
30000830,32,Insmother,FD-7Y4,W-MF6J,-0.51,30000822:30000828:30000829,40052539:40052541:40052542:40052544:40052545:40052551:40052566:40052593
30000831,38,Insmother,TL-FDN,O-9G5Y,-0.52,30000742:30000832:30000834,40052598:40052599:40052600:40052602:40052603:40052605:40052607:40052610:40052615:40052619:40052623:40052627:40052650
30000832,39,Insmother,TL-FDN,27-HP0,-0.64,30000831:30000833,40052659:40052660:40052661:40052664:40052668:40052675:40052680
